118,116,427019,2013_09_08_detmlb_kcamlb_1
142,141,482666,2013_09_08_tormlb_minmlb_1
135,115,429805,2013_09_08_colmlb_sdnmlb_1
108,140,427090,2013_09_08_texmlb_anamlb_1
133,117,427537,2013_09_08_houmlb_oakmlb_1
146,120,427058,2013_09_08_wasmlb_miamlb_1
136,139,427454,2013_09_08_tbamlb_seamlb_1
112,158,427168,2013_09_08_milmlb_chnmlb_1
114,121,427144,2013_09_08_nynmlb_clemlb_1
143,144,483564,2013_09_08_atlmlb_phimlb_1
137,109,427292,2013_09_08_arimlb_sfnmlb_1
113,119,427554,2013_09_08_lanmlb_cinmlb_1
110,145,427424,2013_09_08_chamlb_balmlb_1
143,146,427139,2013_09_17_miamlb_phimlb_1
109,119,427128,2013_09_17_lanmlb_arimlb_1
120,144,429805,2013_09_17_atlmlb_wasmlb_1
133,108,427097,2013_09_17_anamlb_oakmlb_1
134,135,427156,2013_09_17_sdnmlb_pitmlb_1
117,113,427243,2013_09_17_cinmlb_houmlb_1
118,114,427090,2013_09_17_clemlb_kcamlb_1
111,110,427552,2013_09_17_balmlb_bosmlb_1
141,147,427103,2013_09_17_nyamlb_tormlb_1
120,144,490319,2013_09_17_atlmlb_wasmlb_2
115,138,427013,2013_09_17_slnmlb_colmlb_1
145,142,427019,2013_09_17_minmlb_chamlb_1
116,136,427206,2013_09_17_seamlb_detmlb_1
121,137,427554,2013_09_17_sfnmlb_nynmlb_1
139,140,484499,2013_09_17_texmlb_tbamlb_1
158,112,427269,2013_09_17_chnmlb_milmlb_1
145,116,427520,2013_09_11_detmlb_chamlb_1
113,112,427315,2013_09_11_chnmlb_cinmlb_1
146,144,427235,2013_09_11_atlmlb_miamlb_1
142,133,427457,2013_09_11_oakmlb_minmlb_1
139,111,483569,2013_09_11_bosmlb_tbamlb_1
140,134,431232,2013_09_11_pitmlb_texmlb_1
138,158,427093,2013_09_11_milmlb_slnmlb_1
143,135,427509,2013_09_11_sdnmlb_phimlb_1
119,109,427534,2013_09_11_arimlb_lanmlb_1
136,117,427053,2013_09_11_houmlb_seamlb_1
141,108,489942,2013_09_11_anamlb_tormlb_1
137,115,427184,2013_09_11_colmlb_sfnmlb_1
114,118,482631,2013_09_11_kcamlb_clemlb_1
110,147,427362,2013_09_11_nyamlb_balmlb_1
121,120,428442,2013_09_11_wasmlb_nynmlb_1
119,109,490319,2013_09_09_arimlb_lanmlb_1
113,112,427115,2013_09_09_chnmlb_cinmlb_1
110,147,427224,2013_09_09_nyamlb_balmlb_1
142,108,427113,2013_09_09_anamlb_minmlb_1
145,116,427192,2013_09_09_detmlb_chamlb_1
140,134,483912,2013_09_09_pitmlb_texmlb_1
137,115,427299,2013_09_09_colmlb_sfnmlb_1
146,144,427128,2013_09_09_atlmlb_miamlb_1
121,120,427099,2013_09_09_wasmlb_nynmlb_1
136,117,427248,2013_09_09_houmlb_seamlb_1
114,118,427139,2013_09_09_kcamlb_clemlb_1
114,121,427339,2013_09_07_nynmlb_clemlb_1
136,139,431232,2013_09_07_tbamlb_seamlb_1
143,144,427156,2013_09_07_atlmlb_phimlb_1
110,145,428442,2013_09_07_chamlb_balmlb_1
135,115,427344,2013_09_07_colmlb_sdnmlb_1
113,119,427362,2013_09_07_lanmlb_cinmlb_1
133,117,427184,2013_09_07_houmlb_oakmlb_1
